2026年广州市普通高中名额分配结果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,代码,初中学校,,,,"名额
考生",,,省市名额,,,"区属
名额",,,华附石牌,,华附知识城,,省实荔湾,,省实白云,,广雅荔湾,,广雅花都,,执信越秀,,执信天河,,"二
中",,六中海珠,,六中从化,,六中花都,,侨中,,协和,,广附,,"铁
__
越
秀",,"铁
__
番
禺",,"铁
__
白
云",,广州外国语,,清湾智谷,,清湾智慧城,,"__
中",,四中,,,南海中学,,,西外,,真光本部,,真光汾水,,真光广钢
2 ,010603,广州中学,,,,1482 ,,,76 ,76 ,,362 ,,,2 ,2 ,5 ,5 ,,1 ,,2 ,,2 ,4 ,,8 ,,9 ,8 ,,,6 ,2 ,,2 ,,1 ,,6 ,,0 ,,1 ,,2 ,,5 ,3 ,,2 ,,57 ,,45 ,,43 ,43 ,29 ,,,44 ,44 ,44 ,52 ,,45 ,,13 ,,34 
3 ,010604,广州市第七十五中学,,,,620 ,,,32 ,32 ,,152 ,,,1 ,1 ,1 ,3 ,,1 ,,1 ,,2 ,1 ,,5 ,,1 ,1 ,,,0 ,2 ,,4 ,,2 ,,1 ,,0 ,,1 ,,1 ,,2 ,0 ,,2 ,,24 ,,22 ,,8 ,8 ,14 ,,,20 ,20 ,20 ,22 ,,17 ,,7 ,,18 
4 ,010605,广州市第八十九中学,,,,571 ,,,29 ,29 ,,140 ,,,1 ,1 ,0 ,2 ,,1 ,,2 ,,1 ,2 ,,5 ,,2 ,2 ,,,1 ,0 ,,1 ,,1 ,,4 ,,0 ,,0 ,,2 ,,0 ,0 ,,2 ,,23 ,,15 ,,10 ,10 ,12 ,,,26 ,26 ,26 ,26 ,,11 ,,5 ,,12 
5 ,010606,广州市第一一三中学,,,,1057 ,,,54 ,54 ,,258 ,,,3 ,3 ,3 ,2 ,,1 ,,2 ,,5 ,0 ,,0 ,,6 ,3 ,,,2 ,1 ,,1 ,,2 ,,3 ,,2 ,,2 ,,5 ,,5 ,3 ,,3 ,,44 ,,27 ,,23 ,23 ,30 ,,,38 ,38 ,38 ,30 ,,19 ,,15 ,,32 
6 ,010607,广州市天河外国语学校,,,,208 ,,,10 ,10 ,,51 ,,,0 ,0 ,0 ,1 ,,0 ,,0 ,,0 ,1 ,,0 ,,0 ,0 ,,,0 ,0 ,,1 ,,2 ,,1 ,,1 ,,0 ,,1 ,,1 ,0 ,,1 ,,7 ,,8 ,,4 ,4 ,5 ,,,9 ,9 ,9 ,11 ,,4 ,,2 ,,1 
7 ,010608,广州奥林匹克中学,,,,655 ,,,33 ,33 ,,160 ,,,1 ,1 ,1 ,1 ,,3 ,,4 ,,0 ,3 ,,2 ,,2 ,1 ,,,2 ,1 ,,1 ,,3 ,,3 ,,1 ,,2 ,,0 ,,1 ,0 ,,1 ,,23 ,,17 ,,8 ,8 ,19 ,,,23 ,23 ,23 ,23 ,,19 ,,9 ,,19 
8 ,010609,广州市天河中学,,,,674 ,,,34 ,34 ,,165 ,,,0 ,0 ,1 ,2 ,,2 ,,4 ,,0 ,2 ,,3 ,,2 ,1 ,,,1 ,4 ,,0 ,,2 ,,1 ,,0 ,,0 ,,4 ,,2 ,1 ,,2 ,,27 ,,16 ,,17 ,17 ,14 ,,,29 ,29 ,29 ,23 ,,14 ,,7 ,,18 
9 ,01061 1,广州市天荣中学,,,,266 ,,,13 ,13 ,,65 ,,,1 ,1 ,0 ,2 ,,1 ,,0 ,,0 ,0 ,,2 ,,0 ,0 ,,,0 ,0 ,,0 ,,1 ,,1 ,,2 ,,1 ,,1 ,,0 ,0 ,,1 ,,13 ,,4 ,,4 ,4 ,9 ,,,3 ,3 ,3 ,13 ,,7 ,,3 ,,9 
10 ,010613,广州市长兴中学,,,,301 ,,,15 ,15 ,,84 ,,,0 ,0 ,0 ,0 ,,2 ,,1 ,,2 ,0 ,,0 ,,1 ,1 ,,,0 ,1 ,,0 ,,1 ,,1 ,,2 ,,0 ,,1 ,,1 ,0 ,,1 ,,19 ,,6 ,,7 ,7 ,8 ,,,9 ,9 ,9 ,13 ,,8 ,,4 ,,10 
11 ,010615,广州市骏景中学,,,,235 ,,,12 ,12 ,,57 ,,,0 ,0 ,1 ,1 ,,0 ,,1 ,,0 ,1 ,,0 ,,2 ,0 ,,,0 ,0 ,,1 ,,1 ,,1 ,,0 ,,1 ,,1 ,,0 ,0 ,,1 ,,13 ,,4 ,,3 ,3 ,4 ,,,7 ,7 ,7 ,6 ,,3 ,,5 ,,12 
12 ,010616,广州市泰安中学,,,,399 ,,,20 ,20 ,,111 ,,,0 ,0 ,2 ,1 ,,2 ,,0 ,,0 ,0 ,,1 ,,4 ,1 ,,,0 ,0 ,,0 ,,0 ,,2 ,,2 ,,0 ,,1 ,,2 ,1 ,,1 ,,19 ,,12 ,,7 ,7 ,9 ,,,20 ,20 ,20 ,8 ,,22 ,,6 ,,8 
13 ,010617,广州市天河区汇景实验学校,,,,671 ,,,34 ,34 ,,164 ,,,1 ,1 ,0 ,1 ,,1 ,,2 ,,2 ,2 ,,2 ,,2 ,2 ,,,0 ,2 ,,0 ,,3 ,,2 ,,1 ,,2 ,,1 ,,2 ,5 ,,1 ,,23 ,,16 ,,10 ,10 ,22 ,,,28 ,28 ,28 ,19 ,,16 ,,8 ,,22 
14 ,010618,广州市华颖外国语学校,,,,141 ,,,7 ,7 ,,35 ,,,0 ,0 ,0 ,0 ,,0 ,,1 ,,0 ,0 ,,0 ,,1 ,1 ,,,0 ,1 ,,1 ,,0 ,,0 ,,0 ,,0 ,,0 ,,2 ,0 ,,0 ,,8 ,,4 ,,5 ,5 ,0 ,,,6 ,6 ,6 ,3 ,,3 ,,2 ,,4 
15 ,010619,广州市天河中学猎德实验学校,,,,116 ,,,6 ,6 ,,28 ,,,0 ,0 ,1 ,0 ,,0 ,,0 ,,1 ,2 ,,0 ,,0 ,0 ,,,0 ,0 ,,0 ,,0 ,,1 ,,0 ,,0 ,,0 ,,0 ,0 ,,1 ,,5 ,,2 ,,4 ,4 ,1 ,,,5 ,5 ,5 ,4 ,,2 ,,0 ,,5 
16 ,010620,广州市第一一三中学陶育实验学校,,,,105 ,,,5 ,5 ,,26 ,,,2 ,2 ,0 ,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,1 ,0 ,,,0 ,0 ,,0 ,,1 ,,0 ,,1 ,,0 ,,0 ,,0 ,0 ,,0 ,,5 ,,4 ,,0 ,0 ,0 ,,,2 ,2 ,2 ,7 ,,2 ,,1 ,,5 
17 ,010621,广州市执信中学(天河校区),,,,484 ,,,25 ,25 ,,118 ,,,0 ,0 ,2 ,2 ,,1 ,,0 ,,1 ,1 ,,1 ,,3 ,2 ,,,1 ,3 ,,0 ,,0 ,,2 ,,1 ,,1 ,,2 ,,1 ,1 ,,0 ,,19 ,,15 ,,4 ,4 ,10 ,,,17 ,17 ,17 ,15 ,,15 ,,10 ,,13 
18 ,010622,清华附中湾区学校,,,,372 ,,,19 ,19 ,,91 ,,,0 ,0 ,1 ,2 ,,0 ,,5 ,,0 ,0 ,,1 ,,1 ,2 ,,,1 ,0 ,,0 ,,0 ,,1 ,,0 ,,1 ,,1 ,,0 ,1 ,,2 ,,18 ,,7 ,,7 ,7 ,10 ,,,14 ,14 ,14 ,13 ,,12 ,,6 ,,4 
19 ,010623,广州市天河区智谷第一实验学校,,,,115 ,,,5 ,5 ,,28 ,,,0 ,0 ,0 ,0 ,,1 ,,0 ,,0 ,0 ,,0 ,,2 ,0 ,,,0 ,0 ,,0 ,,0 ,,0 ,,1 ,,0 ,,0 ,,1 ,0 ,,0 ,,8 ,,5 ,,2 ,2 ,3 ,,,5 ,5 ,5 ,1 ,,1 ,,2 ,,1 
注:各初中学校分得的名额分配计划已包含面向集团直接分配的名额.                                                                                                                                                      2026_05_12 15:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,代码,初中学校,,,,名额考生,,,省市名额,,区属名额,,华附石牌,,华附知识城,,省实荔湾,,省实白云,,广雅荔湾,,广雅花都,,执信越秀,执信天河,,"二
中",,六中海珠,,,六中从化,六中花都,,侨中,,协和,广附,,"铁
__
越
秀",,"铁
__
番
禺",,"铁
__
白
云",,广州外国语,,清湾智谷,,清湾智慧城,,广州中学,,七十五中,,"三中
金融
城",,"__
__
三
中
元
岗",,,,八十九中,,天河中学,,奥林匹克,,天外珠江新城,,天外智慧城
20 ,010630,华南理工大学附属实验学校,,,,123 ,,,6 ,6 ,30 ,,0 ,0 ,0 ,0 ,1 ,,1 ,,0 ,,1 ,,0 ,0 ,,0 ,,0 ,,,0 ,0 ,,0 ,,1 ,0 ,,1 ,,0 ,,1 ,,0 ,,0 ,,0 ,,3 ,,1 ,,2 ,2 ,1 ,,,,4 ,4 ,10 ,,1 ,,2 ,,6 
21 ,010631,暨南大学附属实验学校,,,,155 ,,,8 ,8 ,38 ,,1 ,1 ,1 ,1 ,1 ,,0 ,,1 ,,0 ,,0 ,1 ,,1 ,,0 ,,,0 ,0 ,,0 ,,1 ,1 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,4 ,,4 ,,2 ,2 ,6 ,,,,7 ,7 ,6 ,,1 ,,3 ,,5 
22 ,010632,华南师范大学附属中学(五山校区),,,,443 ,,,22 ,22 ,108 ,,0 ,0 ,0 ,0 ,3 ,,0 ,,0 ,,1 ,,2 ,1 ,,1 ,,3 ,,,1 ,2 ,,0 ,,2 ,0 ,,0 ,,1 ,,1 ,,1 ,,0 ,,3 ,,20 ,,12 ,,6 ,6 ,12 ,,,,16 ,16 ,13 ,,11 ,,11 ,,7 
23 ,010662,广州天省实验学校,,,,582 ,,,30 ,30 ,142 ,,1 ,1 ,0 ,0 ,1 ,,0 ,,2 ,,4 ,,2 ,3 ,,2 ,,5 ,,,1 ,2 ,,1 ,,2 ,1 ,,0 ,,1 ,,1 ,,1 ,,0 ,,0 ,,18 ,,12 ,,14 ,14 ,13 ,,,,24 ,24 ,21 ,,18 ,,4 ,,18 
24 ,010663,广州市天河区黄村中英文学校,,,,19 ,,,1 ,1 ,5 ,,0 ,0 ,0 ,0 ,0 ,,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,,0 ,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,1 ,,0 ,,0 ,,0 ,,2 ,,0 ,,0 ,0 ,0 ,,,,1 ,1 ,0 ,,0 ,,0 ,,2 
25 ,010664,广州市天河区兴华培智学校,,,,2 ,,,1 ,1 ,0 ,,0 ,0 ,0 ,0 ,0 ,,1 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,,0 ,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,0 ,0 ,,,,0 ,0 ,0 ,,0 ,,0 ,,0 
26 ,010668,广州市天河区培艺学校,,,,3 ,,,1 ,1 ,0 ,,0 ,0 ,0 ,0 ,1 ,,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,,0 ,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,0 ,0 ,,,,0 ,0 ,0 ,,0 ,,0 ,,0 
27 ,010669,广州市天河区华实学校,,,,156 ,,,8 ,8 ,38 ,,0 ,0 ,0 ,0 ,0 ,,1 ,,0 ,,0 ,,1 ,0 ,,1 ,,0 ,,,0 ,1 ,,1 ,,0 ,1 ,,0 ,,1 ,,0 ,,0 ,,1 ,,0 ,,10 ,,5 ,,2 ,2 ,3 ,,,,5 ,5 ,2 ,,5 ,,2 ,,4 
28 ,010671,广州市华美英语实验学校,,,,100 ,,,5 ,5 ,24 ,,0 ,0 ,1 ,1 ,0 ,,0 ,,1 ,,0 ,,0 ,0 ,,0 ,,0 ,,,0 ,0 ,,0 ,,1 ,1 ,,0 ,,0 ,,0 ,,1 ,,0 ,,0 ,,5 ,,3 ,,1 ,1 ,3 ,,,,2 ,2 ,6 ,,1 ,,1 ,,2 
29 ,010672,广州市南国学校,,,,78 ,,,4 ,4 ,19 ,,0 ,0 ,0 ,0 ,0 ,,0 ,,1 ,,0 ,,0 ,1 ,,0 ,,0 ,,,0 ,0 ,,0 ,,0 ,1 ,,0 ,,0 ,,0 ,,0 ,,0 ,,1 ,,2 ,,4 ,,4 ,4 ,3 ,,,,2 ,2 ,2 ,,1 ,,0 ,,1 
30 ,010673,广州市天河区明珠中英文学校,,,,52 ,,,2 ,2 ,13 ,,1 ,1 ,0 ,0 ,0 ,,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,,0 ,0 ,,0 ,,0 ,1 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,3 ,,0 ,,2 ,2 ,1 ,,,,4 ,4 ,1 ,,2 ,,0 ,,0 
31 ,010676,广州市天河区新蕾五星学校,,,,8 ,,,1 ,1 ,2 ,,1 ,1 ,0 ,0 ,0 ,,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,,0 ,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,0 ,1 ,,,,0 ,0 ,1 ,,0 ,,0 ,,0 
32 ,010677,广州市天河区同仁学校,,,,3 ,,,0 ,0 ,1 ,,0 ,0 ,0 ,0 ,0 ,,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,,0 ,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,0 ,0 ,,,,0 ,0 ,0 ,,0 ,,0 ,,1 
33 ,010678,广州市天河区天泽中学,,,,8 ,,,1 ,1 ,2 ,,0 ,0 ,0 ,0 ,0 ,,1 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,,0 ,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,0 ,0 ,,,,0 ,0 ,2 ,,0 ,,0 ,,0 
34 ,010680,广州市天河区培智学校,,,,4 ,,,0 ,0 ,1 ,,0 ,0 ,0 ,0 ,0 ,,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,,0 ,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,1 ,1 ,0 ,,,,0 ,0 ,0 ,,0 ,,0 ,,0 
35 ,010681,广州市天河区同仁实验学校,,,,7 ,,,1 ,1 ,2 ,,0 ,0 ,0 ,0 ,0 ,,0 ,,1 ,,0 ,,0 ,0 ,,0 ,,0 ,,,0 ,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,1 ,,0 ,0 ,0 ,,,,0 ,0 ,0 ,,1 ,,0 ,,0 
36 ,010683,广州市天河区天骄中英文学校,,,,1 ,,,0 ,0 ,1 ,,0 ,0 ,0 ,0 ,0 ,,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,,0 ,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,0 ,0 ,,,,0 ,0 ,0 ,,0 ,,1 ,,0 
37 ,010686,广州市天河区龙圣学校,,,,2 ,,,1 ,1 ,0 ,,0 ,0 ,0 ,0 ,0 ,,0 ,,0 ,,1 ,,0 ,0 ,,0 ,,0 ,,,0 ,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,0 ,0 ,,,,0 ,0 ,0 ,,0 ,,0 ,,0 
38 ,010687,广州市天河区棠福学校,,,,10 ,,,1 ,1 ,3 ,,0 ,0 ,0 ,0 ,0 ,,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,,0 ,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,0 ,,1 ,,0 ,,1 ,,0 ,,0 ,0 ,0 ,,,,0 ,0 ,1 ,,0 ,,1 ,,0 
39 ,010688,广州市天河区大华学校,,,,0 ,,,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,,0 ,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,0 ,0 ,,,,0 ,0 ,0 ,,0 ,,0 ,,0 
注:各初中学校分得的名额分配计划已包含面向集团直接分配的名额.                                                                                                                                                      2026_05_12 15:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,代码,初中学校,,,,名额考生,,省市名额,,区属名额,,华附石牌,,华附知识城,,省实荔湾,,省实白云,,广雅荔湾,广雅花都,,执信越秀,,执信天河,,"二
中",,六中海珠,,六中从化,,六中花都,,侨中,,协和,,广附,"铁
__
越
秀",,"铁
__
番
禺",,"铁
__
白
云",,广州外国语,,,清湾智谷,清湾智慧城,,,广州中学,七十五中,,"三中
金融
城",,,"__
__
三
中
元
岗",,,八十九中,,,天河中学,奥林匹克,,天外珠江新城,,,天外智慧城
40 ,010689,广州市天河区成龙中学,,,,2 ,,1 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,0 ,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,,0 ,1 ,,,0 ,0 ,,0 ,,,0 ,,,0 ,,,0 ,0 ,,0 ,,,0 
41 ,010690,广州市天河区东风学校,,,,5 ,,1 ,,1 ,,0 ,,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,0 ,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,,1 ,0 ,,,0 ,0 ,,0 ,,,1 ,,,0 ,,,0 ,0 ,,0 ,,,0 
42 ,010691,广州市天河区东泰学校,,,,1 ,,1 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,1 ,,0 ,,0 ,,0 ,,0 ,,0 ,0 ,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,,0 ,0 ,,,0 ,0 ,,0 ,,,0 ,,,0 ,,,0 ,0 ,,0 ,,,0 
43 ,010692,广州市天河区同仁艺体实验中学,,,,19 ,,1 ,,5 ,,0 ,,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,0 ,0 ,,1 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,,0 ,0 ,,,0 ,1 ,,2 ,,,0 ,,,0 ,,,0 ,1 ,,0 ,,,1 
44 ,010693,广州市天河区凤凰中学,,,,3 ,,1 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,1 ,,0 ,,0 ,,0 ,0 ,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,,0 ,0 ,,,0 ,0 ,,0 ,,,0 ,,,0 ,,,0 ,0 ,,0 ,,,0 
45 ,010694,广州市天河区同仁天兴学校,,,,5 ,,1 ,,1 ,,0 ,,0 ,,0 ,,0 ,,1 ,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,0 ,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,,0 ,0 ,,,0 ,0 ,,0 ,,,0 ,,,1 ,,,0 ,0 ,,0 ,,,0 
46 ,010695,广州市天河区新昌学校,,,,2 ,,0 ,,1 ,,0 ,,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,0 ,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,,0 ,0 ,,,1 ,0 ,,0 ,,,0 ,,,0 ,,,0 ,0 ,,0 ,,,0 
47 ,010696,广州市天河区科韵路学校,,,,5 ,,1 ,,1 ,,0 ,,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,0 ,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,,0 ,1 ,,,0 ,1 ,,0 ,,,0 ,,,0 ,,,0 ,0 ,,0 ,,,0 
"注:各初中学校分得的名额分配计划已包含面向集团直接分配的名额                                                                                                                                                        2026_05_12 15:21
第3页 共3页",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,代码,初中学校,,名额考生,,,省市名额,,"区属
名额",,,,华附石牌,,华附知识城,省实荔湾,,省实白云,,广雅荔湾,广雅花都,,执信越秀,,执信天河,,"二
中",,六中海珠,六中从化,,,六中花都,侨中,,协和,,广附,"铁
__
越
秀",,"铁
__
番
禺",,"   铁
   _
   白
   云",,广州外国语,,清湾智谷,,清湾智慧城,,培英云城,,培英鹤洞,,六十五中江高,,六十五中同德,,六十五中江府,,,大同,,,白云中学,,彭加木,,广外实验,,空港实验
,0111 ,白云区,,13441 ,13441 ,,696 ,,2272 ,,,,22 ,,26 ,42 ,,31 ,,41 ,30 ,,31 ,,46 ,,57 ,,44 ,20 ,,,28 ,22 ,,36 ,,47 ,19 ,,20 ,,    35 ,,41 ,,23 ,,35 ,,200 ,,175 ,,200 ,,150 ,150 ,108 ,,,300 ,,,288 ,,220 ,,325 ,,306 
1 ,011101 ,广东实验中学(白云校区),,400 ,400 ,,21 ,,65 ,,,,1 ,,0 ,0 ,,0 ,,1 ,2 ,,1 ,,2 ,,3 ,,4 ,0 ,,,0 ,0 ,,1 ,,0 ,1 ,,1 ,,   1 ,,1 ,,0 ,,2 ,,5 ,,5 ,,3 ,,4 ,4 ,2 ,,,10 ,,,9 ,,6 ,,9 ,,12 
2 ,011102 ,广州市白云区同和中学,,458 ,458 ,,24 ,,74 ,,,,2 ,,1 ,3 ,,1 ,,0 ,2 ,,0 ,,2 ,,0 ,,3 ,1 ,,,1 ,0 ,,0 ,,0 ,3 ,,1 ,,   1 ,,2 ,,1 ,,0 ,,1 ,,3 ,,5 ,,6 ,6 ,5 ,,,17 ,,,13 ,,5 ,,13 ,,6 
3 ,011103 ,广州市广园中学,,225 ,225 ,,12 ,,36 ,,,,1 ,,1 ,3 ,,0 ,,1 ,0 ,,0 ,,0 ,,2 ,,0 ,1 ,,,0 ,0 ,,2 ,,0 ,0 ,,1 ,,   0 ,,0 ,,0 ,,0 ,,3 ,,3 ,,1 ,,5 ,5 ,1 ,,,4 ,,,6 ,,4 ,,1 ,,8 
4 ,011104 ,广州市白云区六中实验中学(福和校区),,202 ,202 ,,10 ,,33 ,,,,1 ,,0 ,0 ,,0 ,,0 ,1 ,,2 ,,0 ,,0 ,,0 ,0 ,,,0 ,0 ,,0 ,,2 ,1 ,,0 ,,   3 ,,0 ,,0 ,,0 ,,3 ,,4 ,,1 ,,1 ,1 ,1 ,,,5 ,,,4 ,,4 ,,4 ,,6 
5 ,011105 ,广州市培英中学(鹤洞校区),,284 ,284 ,,15 ,,46 ,,,,1 ,,3 ,0 ,,0 ,,0 ,0 ,,0 ,,1 ,,1 ,,2 ,0 ,,,0 ,0 ,,0 ,,1 ,1 ,,1 ,,   1 ,,1 ,,2 ,,0 ,,4 ,,3 ,,2 ,,4 ,4 ,2 ,,,2 ,,,7 ,,3 ,,9 ,,10 
6 ,011106 ,广州市白云区广东第二师范学院实验中学,,240 ,240 ,,12 ,,39 ,,,,0 ,,0 ,1 ,,1 ,,1 ,0 ,,0 ,,0 ,,0 ,,2 ,0 ,,,0 ,0 ,,1 ,,2 ,0 ,,1 ,,   1 ,,1 ,,0 ,,1 ,,5 ,,3 ,,3 ,,4 ,4 ,4 ,,,5 ,,,2 ,,1 ,,6 ,,6 
7 ,011107 ,广州市白云区龙岗学校,,68 ,68 ,,3 ,,13 ,,,,0 ,,0 ,0 ,,0 ,,0 ,1 ,,0 ,,0 ,,1 ,,0 ,0 ,,,0 ,0 ,,0 ,,0 ,0 ,,0 ,,   0 ,,0 ,,0 ,,1 ,,0 ,,0 ,,0 ,,0 ,0 ,1 ,,,7 ,,,1 ,,1 ,,2 ,,1 
8 ,011108 ,广州市白云区新和学校,,64 ,64 ,,3 ,,12 ,,,,0 ,,0 ,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,1 ,,0 ,0 ,,,0 ,0 ,,1 ,,0 ,0 ,,0 ,,   0 ,,1 ,,0 ,,0 ,,0 ,,0 ,,0 ,,1 ,1 ,1 ,,,4 ,,,1 ,,2 ,,1 ,,2 
9 ,01 1 1 10,广州市白云区竹料第一中学,,209 ,209 ,,11 ,,41 ,,,,0 ,,0 ,0 ,,1 ,,1 ,0 ,,0 ,,2 ,,0 ,,1 ,0 ,,,0 ,1 ,,1 ,,2 ,0 ,,0 ,,   0 ,,0 ,,1 ,,1 ,,4 ,,4 ,,3 ,,1 ,1 ,1 ,,,8 ,,,4 ,,4 ,,5 ,,7 
10 ,01 1 1 12,广州市白云区竹料第三中学,,100 ,100 ,,5 ,,19 ,,,,0 ,,1 ,1 ,,0 ,,0 ,1 ,,0 ,,0 ,,1 ,,0 ,0 ,,,0 ,0 ,,0 ,,0 ,1 ,,0 ,,   0 ,,0 ,,0 ,,0 ,,1 ,,0 ,,0 ,,2 ,2 ,3 ,,,5 ,,,4 ,,0 ,,3 ,,1 
11 ,01 1 1 13,广州大同中学,,303 ,303 ,,16 ,,59 ,,,,0 ,,0 ,0 ,,1 ,,3 ,0 ,,1 ,,1 ,,2 ,,2 ,0 ,,,0 ,0 ,,2 ,,1 ,1 ,,0 ,,   0 ,,1 ,,0 ,,1 ,,3 ,,2 ,,5 ,,3 ,3 ,3 ,,,18 ,,,6 ,,7 ,,4 ,,8 
12 ,01 1 1 14,广州市白云区太和中学,,153 ,153 ,,8 ,,30 ,,,,2 ,,0 ,0 ,,1 ,,0 ,0 ,,0 ,,2 ,,0 ,,1 ,1 ,,,0 ,0 ,,0 ,,0 ,0 ,,0 ,,   0 ,,0 ,,1 ,,0 ,,2 ,,1 ,,3 ,,1 ,1 ,1 ,,,4 ,,,4 ,,3 ,,9 ,,2 
13 ,01 1 1 15,广州市第一一五中学,,259 ,259 ,,13 ,,51 ,,,,1 ,,1 ,0 ,,0 ,,0 ,1 ,,2 ,,2 ,,1 ,,1 ,0 ,,,1 ,0 ,,0 ,,1 ,0 ,,0 ,,   1 ,,1 ,,0 ,,0 ,,2 ,,2 ,,6 ,,3 ,3 ,4 ,,,2 ,,,9 ,,5 ,,14 ,,4 
14 ,01 1 1 17,广州市第七十中学,,108 ,108 ,,6 ,,21 ,,,,0 ,,0 ,1 ,,0 ,,2 ,0 ,,0 ,,0 ,,0 ,,0 ,1 ,,,0 ,0 ,,0 ,,1 ,0 ,,0 ,,   1 ,,0 ,,0 ,,0 ,,0 ,,2 ,,1 ,,0 ,0 ,0 ,,,2 ,,,2 ,,2 ,,10 ,,2 
15 ,01 1 1 18,广州市白云区龙归学校,,193 ,193 ,,10 ,,37 ,,,,0 ,,0 ,1 ,,1 ,,1 ,0 ,,0 ,,1 ,,0 ,,2 ,0 ,,,1 ,0 ,,0 ,,1 ,1 ,,0 ,,   0 ,,1 ,,0 ,,0 ,,2 ,,0 ,,4 ,,2 ,2 ,2 ,,,5 ,,,3 ,,3 ,,11 ,,5 
